barcode,medicine_id
8699525014344,MED1003
8699525014351,MED1003
8699525016775,MED1055
8699525016782,MED1055
8699525016799,MED1055
8699525018021,MED258
8699525019820,MED1005
8699525019837,MED1005
8699525019882,MED1004
8699525019899,MED1004
8699525019905,MED1004
8699525019912,MED1004
8699525019943,MED843
8699525019950,MED258
8699525019967,MED258
8699525019974,MED258
8699525030016,MED423
8699525031815,MED422
8699525043924,MED794
8699525043948,MED794
8699525084002,MED780
8699525090690,MED715
8699525091918,MED153
8699525092199,MED392
8699525092205,MED392
8699525092267,MED200
8699525092366,MED598
8699525092373,MED598
8699525092465,MED028
8699525092472,MED028
8699525092717,MED706
8699525092762,MED072
8699525092779,MED072
8699525092793,MED691
8699525092915,MED200
8699525093059,MED691
8699525093141,MED072
8699525093158,MED072
8699525093165,MED072
8699525093172,MED028
8699525093189,MED028
8699525093516,MED1040
8699525093523,MED1040
8699525093530,MED1040
8699525093547,MED1040
8699525094131,MED1040
8699525094148,MED1040
8699525094315,MED727
8699525094322,MED727
8699525094582,MED1124
8699525094599,MED1124
8699525094636,MED212
8699525094643,MED212
8699525094667,MED032
8699525094681,MED032
8699525095565,MED724
8699525095572,MED724
8699525095756,MED589
8699525095978,MED168
8699525099600,MED483
8699525099730,MED848
8699525099747,MED848
8699525099921,MED715
8699525105790,MED032
8699525131676,MED422
8699525134028,MED422
8699525150226,MED858
8699525150394,MED907
8699525150585,MED437
8699525151513,MED758
8699525156716,MED858
8699525157492,MED715
8699525157508,MED715
8699525159830,MED1047
8699525159847,MED1047
8699525162557,MED757
8699525162564,MED757
8699525162571,MED757
8699525193667,MED225
8699525193681,MED225
8699525193780,MED225
8699525193797,MED225
8699525193803,MED225
8699525193810,MED225
8699525270382,MED710
8699525270399,MED710
8699525272324,MED208
8699525272348,MED208
8699525272355,MED708
8699525272843,MED689
8699525272867,MED689
8699525272874,MED689
8699525272904,MED028
8699525273277,MED072
8699525273284,MED072
8699525274960,MED168
8699525275509,MED072
8699525275516,MED072
8699525278418,MED072
8699525282132,MED200
8699525282149,MED200
8699525282484,MED028
8699525282507,MED028
8699525282989,MED072
8699525283047,MED072
8699525283207,MED028
8699525283214,MED028
8699525284129,MED072
8699525284624,MED212
8699525285584,MED724
8699525285591,MED724
8699525286451,MED028
8699525287465,MED715
8699525287489,MED715
8699525288196,MED068
8699525289568,MED068
8699525342812,MED422
8699525346117,MED434
8699525346124,MED422
8699525349644,MED422
8699525354938,MED907
8699525529695,MED650
8699525529701,MED650
8699525546296,MED548
8699525550033,MED631
8699525558992,MED638
8699525572400,MED598
8699525573957,MED589
8699525577702,MED598
8699525578105,MED529
8699525590435,MED225
8699525590442,MED225
8699525700018,MED772
8699525700049,MED773
8699525704054,MED780
8699525707703,MED374
8699525707710,MED374
8699525707734,MED843
8699525707765,MED781
8699525750150,MED242
8699525750426,MED225
8699525750525,MED642
8699525750556,MED944
8699525750730,MED733
8699525752239,MED422
8699525752253,MED422
8699525754615,MED212
8699525754653,MED032
8699525755247,MED475
8699525756275,MED434
8699525786807,MED163
8699525790019,MED760
8699525796981,MED794
8699525890597,MED437
8699526000308,MED397
8699527010542,MED1131
8699527010955,MED577
8699527040020,MED227
8699527080156,MED629
8699527090025,MED226
8699527090032,MED226
8699527090865,MED849
8699527090957,MED037
8699527091503,MED1099
8699527093521,MED854
8699527093569,MED240
8699527093705,MED240
8699527093873,MED435
8699527093927,MED435
8699527150132,MED386
8699527151016,MED385
8699527170017,MED484
